GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
analysis,soot,SootHelper,45,244,8,4,6,60,7,8,2,7
analysis,ch.ethz.rse,VerificationProperty,0,34,0,0,0,2,0,1,0,1
analysis,ch.ethz.rse,VerificationResult,18,34,5,5,5,11,5,5,1,4
analysis,ch.ethz.rse,VerificationTask,38,50,2,0,7,10,3,3,2,3
analysis,ch.ethz.rse.main,Runner,3,53,0,0,1,14,1,3,1,3
analysis,ch.ethz.rse.main,Main,80,0,0,0,18,0,2,0,2,0
analysis,ch.ethz.rse.pointer,PointsToInitializer,16,220,5,19,1,47,5,14,0,7
analysis,ch.ethz.rse.pointer,PointsToAnalysisWrapper,0,24,0,0,0,7,0,2,0,2
analysis,ch.ethz.rse.pointer,P2SetCollector,0,17,0,0,0,5,0,3,0,3
analysis,ch.ethz.rse.pointer,StoreInitializer,36,56,4,8,5,17,8,6,4,4
analysis,ch.ethz.rse.verify,AmountsPerStore,0,167,0,12,0,30,0,11,0,5
analysis,ch.ethz.rse.verify,EnvironmentGenerator,0,58,0,2,0,14,0,4,0,3
analysis,ch.ethz.rse.verify,StoreInit,35,0,0,0,9,0,5,0,5,0
analysis,ch.ethz.rse.verify,AmountsPerNode,11,411,2,40,1,80,2,25,0,6
analysis,ch.ethz.rse.verify,LoopAnalysis,119,529,23,49,33,114,19,35,0,18
analysis,ch.ethz.rse.verify,FitsInReserveException,0,4,0,0,0,2,0,1,0,1
analysis,ch.ethz.rse.verify,Verifier,10,196,0,18,6,46,0,17,0,8
analysis,ch.ethz.rse.verify,ClassToVerify,19,50,2,2,4,13,4,4,2,4
analysis,ch.ethz.rse.verify,AVerifier,6,50,1,3,1,16,1,5,0,3
analysis,ch.ethz.rse.verify,CallToDelivery,35,0,0,0,9,0,5,0,5,0
analysis,ch.ethz.rse.numerical,IntegerWrapper,0,6,0,0,0,3,0,1,0,1
analysis,ch.ethz.rse.numerical,NumericalStateWrapper,61,113,6,4,18,24,6,11,2,10
analysis,ch.ethz.rse.numerical,NumericalAnalysis,137,711,20,88,34,167,20,50,2,14
analysis,ch.ethz.rse.utils,Constants,3,0,0,0,1,0,1,0,1,0
analysis,ch.ethz.rse.utils,Configuration,20,41,1,1,5,12,1,4,0,4
analysis,ch.ethz.rse.utils,FileUtilsWrapper,29,0,0,0,9,0,3,0,3,0
analysis,ch.ethz.rse.testing,VerificationTestCase,46,87,2,2,9,18,4,7,3,6
analysis,ch.ethz.rse.testing,VerificationTestCaseCollector,73,279,14,24,14,43,15,10,2,4
