packageName,property,expected,actual,group
ch.ethz.rse.integration.tests.Basic_Test_Safe,NON_NEGATIVE,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Basic_Test_Safe,FITS_IN_TROLLEY,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Basic_Test_Safe,FITS_IN_RESERVE,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Basic_Test_Unsafe,NON_NEGATIVE,UNSAFE,UNSAFE,garbage-collectors
ch.ethz.rse.integration.tests.Basic_Test_Unsafe,FITS_IN_TROLLEY,UNSAFE,UNSAFE,garbage-collectors
ch.ethz.rse.integration.tests.Basic_Test_Unsafe,FITS_IN_RESERVE,UNSAFE,UNSAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Arith_Mult,NON_NEGATIVE,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Arith_Mult,FITS_IN_TROLLEY,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Arith_Mult_2,NON_NEGATIVE,UNSAFE,UNSAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Arith_Mult_2,FITS_IN_TROLLEY,UNSAFE,UNSAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Arith_Nested,NON_NEGATIVE,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Arith_Nested,FITS_IN_TROLLEY,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Arith_Nested_2,NON_NEGATIVE,UNSAFE,UNSAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Arith_Nested_2,FITS_IN_TROLLEY,UNSAFE,UNSAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Bop_Or,NON_NEGATIVE,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Bop_Or,FITS_IN_TROLLEY,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Bop_Or_2,NON_NEGATIVE,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Bop_Or_2,FITS_IN_TROLLEY,UNSAFE,UNSAFE,garbage-collectors
